Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2024-12-08T00:19:29.822877Z,,ROBO MANAGEMENT FEE,,,-€0.83,EUR,0.0400
2024-12-17T16:51:32.645621Z,EXW1,DIVIDEND,,,€0.35,EUR,0.0400
2024-12-17T17:26:53.132086Z,EXI2,DIVIDEND,,,€0.48,EUR,0.0400
2025-01-02T16:28:27.929534Z,IS3K,DIVIDEND,,,€8.83,EUR,0.0399
2025-01-08T00:33:51.413879Z,,ROBO MANAGEMENT FEE,,,-€1.51,EUR,0.0399
2025-02-08T01:05:38.549549Z,,ROBO MANAGEMENT FEE,,,-€1.52,EUR,0.0400
2025-03-07T15:44:35.924468Z,XUCD,DIVIDEND,,,€0.61,EUR,0.0402
2025-03-08T00:49:51.045193Z,,ROBO MANAGEMENT FEE,,,-€1.36,EUR,0.0403
2025-03-17T10:00:03.284Z,EXW1,SELL - MARKET,0.51306588,€54.34,€27.88,EUR,0.0401
2025-03-17T13:00:34.067Z,XUCD,BUY - MARKET,0.15098777,€72.39,€10.93,EUR,0.0401
2025-03-17T13:00:36.886Z,XDWT,BUY - MARKET,0.3081243,€80.13,€24.69,EUR,0.0401
2025-03-18T18:43:25.006780Z,EXW1,DIVIDEND,,,€0.41,EUR,0.0401
2025-03-19T19:17:58.436927Z,EXI2,DIVIDEND,,,€0.59,EUR,0.0402
2025-04-08T00:28:53.025924Z,,ROBO MANAGEMENT FEE,,,-€1.36,EUR,0.0397
2025-05-08T00:55:49.442660Z,,ROBO MANAGEMENT FEE,,,-€1.25,EUR,0.0403
2025-06-02T09:00:00.794Z,EXW1,SELL - MARKET,0.05427631,€54.72,€2.97,EUR,0.0403
2025-06-02T09:00:01.804Z,DBXJ,SELL - MARKET,0.13642916,€77.48,€10.57,EUR,0.0403
2025-06-02T09:00:05.730Z,XDWT,SELL - MARKET,0.28954423,€82.06,€23.76,EUR,0.0403
2025-06-02T09:00:08.858Z,EXI2,SELL - MARKET,0.03786137,€82.67,€3.13,EUR,0.0403
2025-06-02T09:02:47.200Z,AMEM,SELL - MARKET,1.87349503,€5.11,€9.57,EUR,0.0403
2025-06-02T10:19:43.569942Z,,CASH WITHDRAWAL,,,-€50,EUR,0.0403
2025-06-08T00:56:31.589664Z,,ROBO MANAGEMENT FEE,,,-€1.39,EUR,0.0405
2025-06-17T17:22:33.214200Z,EXW1,DIVIDEND,,,€0.93,EUR,0.0404
2025-06-17T19:57:35.364362Z,EXI2,DIVIDEND,,,€2.10,EUR,0.0404
2025-07-01T11:11:17.439171Z,IS3K,DIVIDEND,,,€8.12,EUR,0.0406
2025-07-08T00:52:20.316459Z,,ROBO MANAGEMENT FEE,,,-€1.33,EUR,0.0407
