date,open,high,low,close,adjusted_close,volume,ticker,Ticker
2024-07-31,4.991,5.0166,4.9901,5.0156,5.0156,176422,AMEM.XETRA,AMEM.XETRA
2024-08-01,5.0084,5.0144,4.9684,4.9684,4.9684,94373,AMEM.XETRA,AMEM.XETRA
2024-08-02,4.8776,4.8783,4.7871,4.7928,4.7928,44475,AMEM.XETRA,AMEM.XETRA
2024-08-05,4.5701,4.6455,4.5166,4.6428,4.6428,254739,AMEM.XETRA,AMEM.XETRA
2024-08-06,4.6865,4.6925,4.6407,4.6848,4.6848,204396,AMEM.XETRA,AMEM.XETRA
2024-08-07,4.7684,4.8144,4.756,4.7906,4.7906,156871,AMEM.XETRA,AMEM.XETRA
2024-08-08,4.7557,4.8301,4.7383,4.8301,4.8301,38265,AMEM.XETRA,AMEM.XETRA
2024-08-09,4.8485,4.8766,4.8313,4.8493,4.8493,112678,AMEM.XETRA,AMEM.XETRA
2024-08-12,4.87,4.8933,4.862,4.8776,4.8776,35586,AMEM.XETRA,AMEM.XETRA
2024-08-13,4.888,4.8926,4.8704,4.8926,4.8926,84004,AMEM.XETRA,AMEM.XETRA
2024-08-14,4.8715,4.8819,4.8427,4.8679,4.8679,74063,AMEM.XETRA,AMEM.XETRA
2024-08-15,4.8721,4.942,4.8688,4.9344,4.9344,151499,AMEM.XETRA,AMEM.XETRA
2024-08-16,4.9618,4.9739,4.95,4.9722,4.9722,22769,AMEM.XETRA,AMEM.XETRA
2024-08-19,4.9728,5.0002,4.9728,4.9966,4.9966,167294,AMEM.XETRA,AMEM.XETRA
2024-08-20,4.9851,4.9906,4.9387,4.9454,4.9454,40714,AMEM.XETRA,AMEM.XETRA
2024-08-21,4.9331,4.9625,4.931,4.9533,4.9533,103538,AMEM.XETRA,AMEM.XETRA
2024-08-22,4.9447,4.9531,4.9214,4.9214,4.9214,29452,AMEM.XETRA,AMEM.XETRA
2024-08-23,4.9423,4.9671,4.94,4.9542,4.9542,10857,AMEM.XETRA,AMEM.XETRA
2024-08-26,4.9451,4.9621,4.9241,4.9278,4.9278,157528,AMEM.XETRA,AMEM.XETRA
2024-08-27,4.9275,4.9344,4.9197,4.9197,4.9197,30862,AMEM.XETRA,AMEM.XETRA
2024-08-28,4.9348,4.9451,4.9177,4.9188,4.9188,14896,AMEM.XETRA,AMEM.XETRA
2024-08-29,4.9259,4.9664,4.9259,4.961,4.961,27582,AMEM.XETRA,AMEM.XETRA
2024-08-30,4.9684,4.9862,4.952,4.954,4.954,27230,AMEM.XETRA,AMEM.XETRA
2024-09-02,4.9474,4.9485,4.936,4.9478,4.9478,81235,AMEM.XETRA,AMEM.XETRA
2024-09-03,4.9425,4.9435,4.8985,4.9007,4.9007,50034,AMEM.XETRA,AMEM.XETRA
2024-09-04,4.8438,4.8826,4.8347,4.8721,4.8721,26304,AMEM.XETRA,AMEM.XETRA
2024-09-05,4.856,4.8775,4.852,4.8546,4.8546,89714,AMEM.XETRA,AMEM.XETRA
2024-09-06,4.8454,4.8632,4.7785,4.7857,4.7857,47869,AMEM.XETRA,AMEM.XETRA
2024-09-09,4.8032,4.8306,4.8032,4.8265,4.8265,114172,AMEM.XETRA,AMEM.XETRA
2024-09-10,4.8101,4.8275,4.807,4.81,4.81,70489,AMEM.XETRA,AMEM.XETRA
2024-09-11,4.8173,4.8221,4.7836,4.8081,4.8081,17236,AMEM.XETRA,AMEM.XETRA
2024-09-12,4.8749,4.8845,4.8522,4.8689,4.8689,16603,AMEM.XETRA,AMEM.XETRA
2024-09-13,4.884,4.9,4.8735,4.9,4.9,15503,AMEM.XETRA,AMEM.XETRA
2024-09-16,4.8929,4.8969,4.8737,4.8737,4.8737,813103,AMEM.XETRA,AMEM.XETRA
2024-09-17,4.903,4.9144,4.8989,4.9029,4.9029,150805,AMEM.XETRA,AMEM.XETRA
2024-09-18,4.9032,4.9092,4.883,4.883,4.883,114522,AMEM.XETRA,AMEM.XETRA
2024-09-19,4.9457,4.9641,4.9358,4.9638,4.9638,73151,AMEM.XETRA,AMEM.XETRA
2024-09-20,4.962,4.9783,4.9528,4.9595,4.9595,61020,AMEM.XETRA,AMEM.XETRA
2024-09-23,4.9741,5.0206,4.9741,5.0186,5.0186,27921,AMEM.XETRA,AMEM.XETRA
2024-09-24,5.093,5.1466,5.0854,5.1462,5.1462,441020,AMEM.XETRA,AMEM.XETRA
2024-09-25,5.0868,5.1426,5.0868,5.14,5.14,217284,AMEM.XETRA,AMEM.XETRA
2024-09-26,5.2154,5.3258,5.2092,5.2818,5.2818,716922,AMEM.XETRA,AMEM.XETRA
2024-09-27,5.292,5.3232,5.2802,5.2922,5.2922,586853,AMEM.XETRA,AMEM.XETRA
2024-09-30,5.2936,5.3106,5.232,5.232,5.232,254768,AMEM.XETRA,AMEM.XETRA
2024-10-01,5.243,5.2782,5.2208,5.2566,5.2566,402792,AMEM.XETRA,AMEM.XETRA
2024-10-02,5.3746,5.408,5.3414,5.364,5.364,471157,AMEM.XETRA,AMEM.XETRA
2024-10-03,5.3576,5.3774,5.2806,5.3322,5.3322,193858,AMEM.XETRA,AMEM.XETRA
2024-10-04,5.3854,5.4022,5.363,5.3798,5.3798,146832,AMEM.XETRA,AMEM.XETRA
2024-10-07,5.4418,5.4514,5.4168,5.4266,5.4266,144699,AMEM.XETRA,AMEM.XETRA
2024-10-08,5.2846,5.3198,5.2338,5.3074,5.3074,321111,AMEM.XETRA,AMEM.XETRA
2024-10-09,5.2638,5.3034,5.248,5.3034,5.3034,126925,AMEM.XETRA,AMEM.XETRA
2024-10-10,5.3062,5.3122,5.2804,5.3098,5.3098,97302,AMEM.XETRA,AMEM.XETRA
2024-10-11,5.2782,5.3356,5.2746,5.3356,5.3356,70658,AMEM.XETRA,AMEM.XETRA
2024-10-14,5.33,5.3606,5.3136,5.3396,5.3396,227712,AMEM.XETRA,AMEM.XETRA
2024-10-15,5.2944,5.2998,5.2468,5.252,5.252,238073,AMEM.XETRA,AMEM.XETRA
2024-10-16,5.2696,5.3004,5.2622,5.3004,5.3004,181069,AMEM.XETRA,AMEM.XETRA
2024-10-17,5.2934,5.2994,5.2686,5.296,5.296,472071,AMEM.XETRA,AMEM.XETRA
2024-10-18,5.3452,5.373,5.3336,5.3402,5.3402,534670,AMEM.XETRA,AMEM.XETRA
2024-10-21,5.3022,5.3058,5.2756,5.2844,5.2844,168620,AMEM.XETRA,AMEM.XETRA
2024-10-22,5.2956,5.3102,5.2662,5.2934,5.2934,95840,AMEM.XETRA,AMEM.XETRA
2024-10-23,5.3218,5.3286,5.286,5.2908,5.2908,71288,AMEM.XETRA,AMEM.XETRA
2024-10-24,5.278,5.2862,5.25,5.253,5.253,27539,AMEM.XETRA,AMEM.XETRA
2024-10-25,5.2576,5.2754,5.2552,5.274,5.274,100489,AMEM.XETRA,AMEM.XETRA
2024-10-28,5.2716,5.2806,5.2482,5.273,5.273,39456,AMEM.XETRA,AMEM.XETRA
2024-10-29,5.2452,5.301,5.2452,5.2684,5.2684,107432,AMEM.XETRA,AMEM.XETRA
2024-10-30,5.2218,5.2242,5.1826,5.1826,5.1826,87719,AMEM.XETRA,AMEM.XETRA
2024-10-31,5.1518,5.1614,5.1194,5.1344,5.1344,85155,AMEM.XETRA,AMEM.XETRA
2024-11-01,5.176,5.197,5.168,5.19,5.19,148853,AMEM.XETRA,AMEM.XETRA
2024-11-04,5.1732,5.1998,5.1714,5.1902,5.1902,94738,AMEM.XETRA,AMEM.XETRA
