Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2025-04-08T08:55:43.719310Z,,CASH TOP-UP,,,€150,EUR,0.0396
2025-10-23T13:30:07.814Z,IS3K,BUY - MARKET,0.41755754,€82.46,€34.43,EUR,0.0397
2025-11-08T00:28:11.174320Z,,ROBO MANAGEMENT FEE,,,-€10.08,EUR,0.0407
